PersonID	FirstName	FamilyName	Title	Sex	YoB	YoD	BuildingType	BuildingName	BuildingDescr	Location	County	Cost	BuiltDate	InternetLink	Ownership
2146644597	Ralph	Fretwell		M	1631.0	1701.0	Country house	Hellaby Hall	Late 17thC mansion house near Rotherham, built by Ralph Fretwell, now an hotel.	near Rotherham	Yorkshire			https://historicengland.org.uk/listing/the-list/list-entry/1192650	Private - hotel
2146652093	Gilbert	Heathcote	Sir	M	1652.0	1733.0	Country house	Normanton Hall	Built by Sir Gilbert Heathcote, who had purchased the Normanton estate in 1729 at the age of 79. The house was demolished in 1925.		Rutland	�20000			
2146645491	James	Milliken		M	1669.0	1741.0	Country house	Milliken House	Built by James Milliken after his return from St Kitts c. 1730, destroyed by fire in 1801, rebuilt 1836 and demolished early 20thC. Only Milliken Tower, originally the dovecote, survives.	Milliken	Renfrewshire		1733.0	http://rlhf.info/the-tower-at-milliken-a-hidden-gem/	
2146650419	Alexander	Porterfield		M	1673.0	1743.0	Country house	Duchal House		Kilmacolm	Renfrewshire		1710.0		
2146646095	William	McDowall	Col.	M	1678.0	1748.0	Country house	Castle Semple House	Col. William McDowall bought the Castle Semple estate in 1727 and built Castle Semple House. His son and grandson William II and William III of Garthland further improved the estate, which was sold to John Harvey in 1814 (q.v.). The house, possibly by Robert Hunter of Ayr, was damaged by fire in 1924 and demolished to basement level in the 1970s.	Lochwinnoch	Renfrewshire		1727.0	http://portal.historic-scotland.gov.uk/designation/LB12666	
2146646095	William	McDowall	Col.	M	1678.0	1748.0	Town house	Shawfield Mansion			Lanarkshire				
2146648873	Thomas	Onslow, 2nd Baron Onslow		M	1679.0	1740.0	Country house	Clandon Park	Palladian mansion built over an existing Elizabethan house in 1730-1733 to designs of Giacomo Leoni by Thomas Lord Onslow, with the slavery-derived fortune of his wife Elizabeth Knight. Fire destroyed the interior and roof of the house in April 2015, and the National Trust is seeking to rebuild it.	West Clandon	Surrey			http://www.nationaltrust.org.uk/clandon-park	National Trust
2146657561	Valentine	Mumbee or Munbee		M	1695.0	1750.0	Country house	Horringer House		Horringer	Suffolk				
2146646567	Robert	Hamilton		M	1698.0	1773.0	Country house	Rozelle House	Mansion house built for Robert Hamilton in the style of Robert Adam. Completed 1760. Remodelled in the 19th century, now Ayr's Museum and Gallery.	Ayr	Ayrshire			http://www.south-ayrshire.gov.uk/galleries/rozellehouse/	Council
2146648027	Christopher	Jeaffreson		M	1699.0	1749.0	Country house	Dullingham House	Mid-18thC brick house, 'probably constructed by Christopher Jeaffreson (d. 1749) although its plan suggests it may encase an earlier building.' Landscape by Repton c. 1800. (http://www.british-history.ac.uk/vch/cambs/vol6/pp157-170). John Jeafferson, an early St Kitts slave-owner and great-uncle of Christopher Jeaffreson II, had bought the Dullingham estate from Sir Robert Wingfield in 1656.	Dullingham, Newmarket	Cambridgeshire			http://www.british-history.ac.uk/vch/cambs/vol6/pp157-170	
2146654117	John	Molesworth	Sir	M	1705.0	1766.0	Country house	Pencarrow	Pencarrow, country house in Cornwall extended and remodelled by Sir John Molesworth 4th bart. and his son of the same name the 5th bart. in the 1760s, to designs by Robert Allanson. The house is still in the hands of the family.	Pencarrow	Cornwall			www.hha.org.uk/content/7252/Live/download/p32-37%20focus%20on.pdf	Private owners
2146652023	William	Campbell		M	1710.0	1787.0	Country house	Liston Hall	Country house in Essex on the Suffolk border, built by William Campbell on the site of an estate which came to him by his third marriage.	near Melford	Essex			http://www.historyofparliamentonline.org/volume/1715-1754/member/campbell-william-1710-87	
2146644619	Beeston	Long		M	1710.0	1785.0	Estate	Carshalton Park	Beeston Long built up an estate at Carshalton Park between 1755 and his death in 1785; he and/or his son Samuel Long of Carshalton Park (q.v.) rebuilt the house there, which was demolished c. 1822.	Carshalton	Surrey			http://archaeologydataservice.ac.uk/archiveDS/archiveDownload?t=arch-457-1/dissemination/pdf/vol10/vol10_08/10_08_204_213.pdf	
2146639039	John	Wallace		M	1712.0	1805.0	Country house	Kelly House	Late 18thC house built by John Wallace c.1793 on an estate he had recently purchased. Modified and expanded by his son Robert Wallace. Demolished c. early 20thC.	Kelly	Renfrewshire		1793.0	http://www.visionofbritain.org.uk/descriptions/122480	
2146656113	Lawrence	Dundas	Sir	M	1712.0	1781.0	Town house	Dundas House	Palladian villa built for Lawrence Dundas 1772-1774 to the design of Sir William Chambers. 1787-1825: sold by Dundas's son, Thomas, to the government and used as an Excise office. 1825: acquired by the Royal Bank of Scotland and was the Bank’s HQ until 2005.	36 St Andrew Square, Edinburgh	Midlothian (Edinburgh)		1774.0		
2146639023	Hutchison	Mure		M	1713.0	1795.0	Country house	Great Saxham Hall	Country house, the subject of commissions from Robert Adam, the building of which was started by Hutchison or Hutchinson Mure. Adam's plan was for an ambitious Palladian house but the actual result was a remodelling of the extant Jacobean building.	Great Saxham	Suffolk			http://www.jeromeonline.co.uk/drawings/index.cfm?display_scheme=1001	
2146638741	Edwin	Lascelles, 1st Baron Harewood		M	1713.0	1795.0	Country house	Harewood House	Built for Edwin Lascelles, 1st Baron Harewood, 1759-1771. Architect was John Carr. Interiors by Robert Adam. Enlarged in the 1840s for Henry Lascelles, 3rd Earl Harewood, by Sir Charles Barry. Built at  cost of £37,000 excluding Robert Adam's fees; a further £6839 was paid to Thomas Chippendale and 'an almost identical sum' to Capability Brown [Wilson and Mackley, Creating Paradise p. 323].	Harewood, Leeds	Yorkshire	�37000	1759.0		
2146640529	Charles	Tudway			1713.0	1770.0	Town house	The Cedars, Wells	Now part of Wells Cathedral School, built for Charles Tudway c. 1758.	Wells	Somerset		1758.0	http://www.britishlistedbuildings.co.uk/en-483588-the-cedars-wells-somerset#.VvvvkocbDUo	School
2146643075	Arthur	Forrest	Admiral	M	1716.0	1770.0	Estate	Forrest or Forest Lodge	House and estate at Binfield Berkshire purchased by Arthur Forrest for £3961 09/04/1760 and significantly extended and modernised by him.	Binfield	Berkshire				
2146644125	John	Gibbons	Sir	M	1717.0	1776.0	Country house	Stanwell House	Country house purchased in 1754 by Sir John Gibbons, who extended the estate through enclosure.	Stanwell Place, Stanwell, Middlesex	Middlesex			http://www.british-history.ac.uk/vch/middx/vol3/pp36-41	
2146647795	John	Boyd	Sir	M	1718.0	1800.0	Country house	Danson House	Grade I Palladian villa built 1765/1766 by Sir John Boyd for his second wife Catherine Chapone. Restored and re-opened 2005. Recently transferred from the Bexley Heritage Trust to the London Borough of Bexley in 2016.  'An unsigned plan in the possession of the Borough of Bexley is attributed to [Capability] Brown but the delineation is not characteristic. The management of the rather flat terrain and fine lake has, however, Brown-ish qualities', Dorothy Stroud, Capability Brown (London, 1975) p. 222.	Bexley	Kent		1766.0	http://www.bexley.gov.uk/article/3207/Danson-House	Council
